RUNTIMES, PLATFORM, TIMES, MS, TIMES/S, N, COMPLITE,
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bogo, 1, 22639, 0.044171562348160255, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), sleep, 2, 9907, 0.20187746038154838, true
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), native, 3860, 5000, 772, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bubble, 13, 5073, 2.562586240883107, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), select, 15, 5115, 2.932551319648094, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), insert, 39, 5081, 7.675654398740406, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), gnome, 33, 5140, 6.420233463035019, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), shaker, 17, 5158, 3.2958511050794885, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), comb, 1818, 5000, 363.59999999999997, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), fshell, 21, 5136, 4.0887850467289715, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), heap, 1118, 5002, 223.51059576169533, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), merge, 1002, 5004, 200.2398081534772, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), quick, 2192, 5002, 438.2247101159536, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bucket, 994, 5000, 198.8, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), radix, 331, 5005, 66.13386613386614, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), pigeon, 3117, 5000, 623.4, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bogo, 1, 11505, 0.0869187309865276, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), sleep, 2, 9916, 0.20169423154497781, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), native, 1620, 5000, 324.0, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bubble, 1, 26152, 0.03823799327011319, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), select, 1, 18883, 0.05295768680824022, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), insert, 1, 11589, 0.08628872206402623, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), gnome, 1, 15622, 0.06401229035974908, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), shaker, 1, 25789, 0.0387762224204118, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), comb, 42, 5062, 8.297115764519953, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), fshell, 1, 16774, 0.05961607249314415, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), heap, 27, 5173, 5.219408467040402, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), merge, 34, 5024, 6.767515923566879, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), quick, 71, 5053, 14.051058776964181, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bucket, 390, 5011, 77.82877669127919, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), radix, 20, 5062, 3.9510075069142636, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), pigeon, 364, 5012, 72.62569832402235, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bogo, 1, 164955, 0.006062259404079901, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), sleep, 2, 9915, 0.20171457387796268, True
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), native, 716, 5003, 143.11413152108736, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bubble, 8, 5480, 1.4598540145985401, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), select, 8, 5585, 1.4324082363473591, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), insert, 24, 5188, 4.6260601387818046, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), gnome, 14, 5241, 2.6712459454302615, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), shaker, 8, 5141, 1.5561174868702585, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), comb, 1339, 5002, 267.69292283086764, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), fshell, 9, 5037, 1.7867778439547348, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), heap, 722, 5005, 144.25574425574425, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), merge, 817, 5005, 163.23676323676324, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), quick, 1522, 5000, 304.4, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bucket, 1076, 5004, 215.0279776179057, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), radix, 543, 5002, 108.55657736905238, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), pigeon, 7226, 5000, 1445.2, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bogo, 1, 22520, 0.04440497335701599, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), sleep, 2, 9906, 0.20189783969311528, true
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), native, 3810, 5001, 761.8476304739053, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bubble, 13, 5050, 2.5742574257425743, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), select, 15, 5117, 2.93140512018761, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), insert, 39, 5074, 7.686243594797004, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), gnome, 33, 5131, 6.431494835314753, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), shaker, 17, 5154, 3.298409002716337, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), comb, 1757, 5000, 351.4, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), fshell, 21, 5122, 4.099960952752832, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), heap, 1111, 5003, 222.06675994403358, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), merge, 1064, 5001, 212.75744851029793, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), quick, 2125, 5000, 425, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bucket, 962, 5002, 192.32307077169133, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), radix, 308, 5009, 61.48931922539429, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), pigeon, 3103, 5000, 620.6, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bogo, 1, 11368, 0.08796622097114708, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), sleep, 2, 9918, 0.20165355918531963, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), native, 1622, 5003, 324.2054767139716, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bubble, 1, 24673, 0.040530134154744046, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), select, 1, 19872, 0.05032206119162641, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), insert, 1, 11140, 0.08976660682226212, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), gnome, 1, 15663, 0.06384472961757007, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), shaker, 1, 25723, 0.038875714341251026, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), comb, 41, 5117, 8.0125073285128, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), fshell, 1, 15554, 0.06429214350006429, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), heap, 27, 5054, 5.342303126236644, True
